ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ah_vol,ah_amount
002932.SZ,20260820,15.06,15.5,15.06,15.29,15.06,0.23,1.5272,13226.75,20249.58566,,
688212.SH,20260820,29.68,29.95,28.39,28.82,29.43,-0.61,-2.0727,42439.74,123320.987,,
601880.SH,20260820,1.46,1.47,1.45,1.47,1.45,0.02,1.3793,667890.14,97623.414,,
603086.SH,20260820,5.62,5.73,5.6,5.64,5.66,-0.02,-0.3534,61155.0,34560.646,,
688253.SH,20260820,57.88,59.76,56.05,57.16,55.74,1.42,2.5475,26008.09,151021.871,,
600390.SH,20260820,4.75,4.84,4.75,4.81,4.74,0.07,1.4768,280396.17,134509.887,,
002485.SZ,20260820,5.81,5.98,5.77,5.98,5.78,0.2,3.4602,24773.7,14592.0259,,
603036.SH,20260820,14.33,15.49,14.28,15.49,14.08,1.41,10.0142,186740.93,284477.844,,
002662.SZ,20260820,3.11,3.18,3.11,3.16,3.09,0.07,2.2654,116752.16,36831.98922,,
603665.SH,20260820,20.7,21.08,20.3,20.91,20.4,0.51,2.5,20382.48,42176.076,,
300030.SZ,20260820,6.83,7.15,6.83,7.01,6.7,0.31,4.6269,115187.04,80509.92584,,
920422.BJ,20260820,9.38,9.58,9.34,9.4,9.38,0.02,0.2132,6901.58,6517.32878,,
001296.SZ,20260820,19.1,19.64,19.1,19.48,19.0,0.48,2.5263,18659.0,36315.748,,
600535.SH,20260820,15.39,15.6,15.35,15.47,15.24,0.23,1.5092,203802.78,315870.007,,
600760.SH,20260820,43.28,43.82,43.2,43.5,43.53,-0.03,-0.0689,85363.45,372370.537,,
600021.SH,20260820,13.65,13.76,13.58,13.63,13.63,0.0,0.0,199842.15,272713.683,,
301199.SZ,20260820,17.7,18.04,17.53,17.8,17.45,0.35,2.0057,14130.4,25167.7516,,
301056.SZ,20260820,10.98,11.18,10.8,10.88,10.88,0.0,0.0,22801.66,25025.76974,,
002609.SZ,20260820,7.6,7.72,7.54,7.69,7.55,0.14,1.8543,47820.0,36664.74957,,
688516.SH,20260820,41.54,41.66,40.67,40.92,40.86,0.06,0.1468,57230.24,234907.555,,
300400.SZ,20260820,28.76,29.61,28.12,28.56,28.28,0.28,0.9901,97481.0,280889.36862,,
688475.SH,20260820,29.2,30.09,29.02,29.62,29.2,0.42,1.4384,39171.56,116596.231,,
300609.SZ,20260820,25.18,25.5,24.3,24.91,24.91,0.0,0.0,27874.0,69639.214,,
000029.SZ,20260820,22.49,22.81,22.27,22.3,22.6,-0.3,-1.3274,48528.21,109261.31122,,
603668.SH,20260820,10.22,10.26,10.08,10.16,10.2,-0.04,-0.3922,55701.4,56614.988,,
301077.SZ,20260820,21.45,21.67,20.95,21.23,21.11,0.12,0.5685,27585.76,58656.64899,,
300772.SZ,20260820,11.46,11.59,11.29,11.34,11.47,-0.13,-1.1334,99645.8,113667.0336,,
002264.SZ,20260820,6.57,6.68,6.48,6.65,6.46,0.19,2.9412,194625.29,128433.33695,,
000981.SZ,20260820,2.63,2.64,2.6,2.62,2.6,0.02,0.7692,1381969.18,362124.36563,,
002910.SZ,20260820,9.46,9.61,9.34,9.52,9.36,0.16,1.7094,52986.0,50298.655,,
002330.SZ,20260820,4.08,4.12,4.02,4.11,4.05,0.06,1.4815,147704.0,60461.31,,
300250.SZ,20260820,14.91,15.09,14.71,14.89,14.74,0.15,1.0176,48476.0,72289.103,,
301316.SZ,20260820,39.59,39.9,38.47,39.15,39.1,0.05,0.1279,108325.47,423882.80351,,
920699.BJ,20260820,85.34,88.98,82.1,83.08,86.2,-3.12,-3.6195,11424.83,96939.086,,
000731.SZ,20260820,6.14,6.17,6.01,6.1,6.12,-0.02,-0.3268,75631.0,46025.403,,
603677.SH,20260820,13.59,13.81,13.59,13.67,13.56,0.11,0.8112,8089.0,11075.629,,
688146.SH,20260820,280.0,280.0,256.0,260.88,275.33,-14.45,-5.2482,192407.03,5098594.242,,
300461.SZ,20260820,30.2,31.57,29.44,30.84,29.72,1.12,3.7685,56281.0,172377.487,,
600751.SH,20260820,3.12,3.19,3.11,3.17,3.11,0.06,1.9293,282777.94,89586.949,,
601368.SH,20260820,4.54,4.62,4.52,4.6,4.52,0.08,1.7699,42172.0,19308.269,,
001379.SZ,20260820,16.2,16.57,16.11,16.51,16.12,0.39,2.4194,19290.0,31685.286,,
601916.SH,20260820,2.9,2.95,2.88,2.95,2.91,0.04,1.3746,1471489.7,428470.771,,
002223.SZ,20260820,25.96,26.58,25.96,26.27,25.88,0.39,1.507,121832.12,321167.56093,,
600475.SH,20260820,14.74,15.09,14.59,14.9,14.68,0.22,1.4986,110420.72,163770.793,,
920982.BJ,20260820,124.5,128.98,123.75,123.75,120.2,3.55,2.9534,17271.37,219058.85099,,
605007.SH,20260820,15.06,15.3,15.05,15.06,14.96,0.1,0.6684,33031.73,50058.355,,
688108.SH,20260820,18.2,19.16,18.04,18.58,17.71,0.87,4.9125,183057.74,342846.504,,
300479.SZ,20260820,14.8,15.28,14.6,14.84,14.78,0.06,0.406,90046.54,134711.87328,,
603045.SH,20260820,53.6,53.63,51.36,52.04,52.3,-0.26,-0.4971,58665.28,306589.46,,
300411.SZ,20260820,7.43,7.65,7.38,7.6,7.35,0.25,3.4014,102599.72,77276.9098,,
002798.SZ,20260820,5.69,5.83,5.65,5.74,5.65,0.09,1.5929,76023.5,43596.25444,,
600020.SH,20260820,3.74,3.79,3.72,3.78,3.74,0.04,1.0695,149505.99,56137.227,,
600846.SH,20260820,12.0,12.15,11.82,11.96,11.94,0.02,0.1675,26095.71,31178.368,,
300143.SZ,20260820,7.88,8.08,7.85,7.9,7.67,0.23,2.9987,180643.51,143697.81159,,
002497.SZ,20260820,18.88,18.98,18.4,18.6,18.72,-0.12,-0.641,303202.36,566918.3979,,
300763.SZ,20260820,62.36,62.62,60.68,60.9,61.72,-0.82,-1.3286,73358.77,450843.37856,,
001313.SZ,20260820,7.89,7.96,7.76,7.91,7.92,-0.01,-0.1263,149711.0,117637.546,,
000665.SZ,20260820,3.81,3.86,3.78,3.85,3.81,0.04,1.0499,157901.66,60515.18333,,
000016.SZ,20260820,2.26,2.33,2.26,2.31,2.27,0.04,1.7621,119658.0,27478.897,,
002866.SZ,20260820,14.89,14.91,14.55,14.69,14.6,0.09,0.6164,51061.0,74991.053,,
301337.SZ,20260820,25.22,26.82,25.22,26.68,25.33,1.35,5.3296,24507.0,64629.16382,,
002933.SZ,20260820,26.98,27.16,26.5,26.59,26.67,-0.08,-0.3,11554.0,30995.69,,
000014.SZ,20260820,9.93,10.27,9.76,10.13,9.85,0.28,2.8426,53252.4,53624.2816,,
603579.SH,20260820,17.8,18.12,17.54,17.97,17.79,0.18,1.0118,27850.0,49605.568,,
000573.SZ,20260820,3.59,3.67,3.58,3.67,3.58,0.09,2.514,120039.91,43666.41806,,
002053.SZ,20260820,9.28,9.45,9.09,9.17,9.32,-0.15,-1.6094,121721.14,112189.62126,,
002919.SZ,20260820,17.55,17.83,17.4,17.54,17.35,0.19,1.0951,27903.63,49089.31176,,
300566.SZ,20260820,28.21,29.13,27.12,28.1,27.99,0.11,0.393,198362.35,556853.94768,,
301293.SZ,20260820,52.91,54.33,52.71,53.05,51.94,1.11,2.1371,89835.11,480711.37328,,
603300.SH,20260820,4.74,4.88,4.74,4.86,4.74,0.12,2.5316,361239.93,174980.51,,
920112.BJ,20260820,15.82,16.0,15.57,15.7,15.67,0.03,0.1914,1459.69,2302.44388,,
601956.SH,20260820,4.9,4.98,4.9,4.95,4.9,0.05,1.0204,38912.4,19219.961,,
603418.SH,20260820,43.5,43.8,43.2,43.2,43.21,-0.01,-0.0231,6523.39,28325.702,,
600626.SH,20260820,3.53,3.57,3.5,3.55,3.5,0.05,1.4286,77216.01,27387.846,,
300384.SZ,20260820,12.56,12.99,12.45,12.84,12.41,0.43,3.4649,66315.71,84271.48369,,
000563.SZ,20260820,2.93,2.97,2.92,2.95,2.92,0.03,1.0274,357411.52,105280.93131,,
002229.SZ,20260820,11.15,11.21,10.68,10.82,11.32,-0.5,-4.417,595972.77,648359.88535,,
000409.SZ,20260820,8.45,8.57,8.44,8.52,8.42,0.1,1.1876,36076.08,30716.47916,,
600206.SH,20260820,57.82,58.61,52.98,56.7,58.87,-2.17,-3.6861,1375198.7,7709775.817,,
002553.SZ,20260820,16.0,16.27,15.35,15.41,16.05,-0.64,-3.9875,169730.24,265290.54069,,
688726.SH,20260820,46.85,47.14,44.77,44.8,46.16,-1.36,-2.9463,58742.17,269372.328,,
002617.SZ,20260820,6.31,6.35,6.14,6.19,6.27,-0.08,-1.2759,674685.6,420038.68067,,
002305.SZ,20260820,2.05,2.11,2.05,2.11,2.06,0.05,2.4272,177003.0,36903.813,,
603687.SH,20260820,13.4,13.45,13.03,13.14,13.14,0.0,0.0,142903.0,188876.71,,
688279.SH,20260820,167.94,170.8,162.49,168.04,166.66,1.38,0.828,15573.75,260075.222,,
002353.SZ,20260820,152.76,155.45,148.6,153.25,150.5,2.75,1.8272,171410.53,2612990.77016,,
002060.SZ,20260820,3.2,3.27,3.2,3.25,3.21,0.04,1.2461,141208.19,45769.35898,,
601808.SH,20260820,12.23,12.5,12.18,12.31,12.29,0.02,0.1627,187796.68,231522.346,,
600800.SH,20260820,3.27,3.36,3.25,3.3,3.27,0.03,0.9174,287356.93,95199.217,,
000685.SZ,20260820,10.92,11.08,10.9,10.92,10.87,0.05,0.46,103145.54,113168.08246,,
002313.SZ,20260820,8.0,8.78,7.91,8.78,7.98,0.8,10.0251,209608.0,179593.968,,
688005.SH,20260820,26.56,26.66,26.01,26.18,26.4,-0.22,-0.8333,87919.9,230997.362,,
002655.SZ,20260820,35.05,36.49,33.93,34.34,34.39,-0.05,-0.1454,374142.04,1308304.96896,,
920083.BJ,20260820,40.9,45.74,39.9,44.2,42.02,2.18,5.188,78835.21,339660.5719,,
000862.SZ,20260820,5.12,5.16,5.09,5.12,5.1,0.02,0.3922,109063.0,55845.352,,
000404.SZ,20260820,7.07,7.1,7.06,7.08,7.08,0.0,0.0,71724.15,50764.21155,,
001257.SZ,20260820,24.49,24.74,23.9,24.15,24.06,0.09,0.3741,86857.64,211382.01778,,
301070.SZ,20260820,64.97,65.5,62.04,63.82,62.4,1.42,2.2756,28318.25,181408.17586,,
603949.SH,20260820,13.9,14.2,13.9,13.99,13.86,0.13,0.938,15154.0,21234.931,,
688183.SH,20260820,105.99,107.5,103.04,104.4,103.39,1.01,0.9769,97752.65,1029490.812,,
601988.SH,20260820,6.03,6.07,6.0,6.05,6.08,-0.03,-0.4934,2178134.73,1315052.013,,
688788.SH,20260820,29.05,31.63,27.81,30.46,27.96,2.5,8.9413,67200.03,200907.969,,
603757.SH,20260820,58.48,58.99,56.88,58.28,57.56,0.72,1.2509,53785.23,312214.227,,
600183.SH,20260820,128.19,131.19,124.16,126.28,125.47,0.81,0.6456,596152.32,7613697.163,,
301500.SZ,20260820,23.77,24.46,22.47,22.73,22.91,-0.18,-0.7857,170843.5,399673.73422,,
301226.SZ,20260820,29.15,29.55,28.61,28.8,28.69,0.11,0.3834,13171.0,38320.557,,
300821.SZ,20260820,18.44,18.56,16.66,17.31,18.3,-0.99,-5.4098,1115618.11,1927945.06853,,
002708.SZ,20260820,10.94,11.03,10.7,10.87,10.73,0.14,1.3048,130947.88,142260.55824,,
300326.SZ,20260820,5.88,6.05,5.87,6.03,5.86,0.17,2.901,58189.05,34815.005,,
603810.SH,20260820,12.1,12.34,12.07,12.22,12.01,0.21,1.7485,15740.91,19237.979,,
688682.SH,20260820,30.71,31.88,30.71,31.3,30.93,0.37,1.1962,11127.37,34877.321,,
688765.SH,20260820,37.95,39.78,37.95,38.81,36.78,2.03,5.5193,61241.87,239378.947,,
002198.SZ,20260820,3.31,3.4,3.31,3.37,3.27,0.1,3.0581,56909.0,19170.44,,
600604.SH,20260820,4.41,4.68,4.41,4.56,4.44,0.12,2.7027,277672.6,125936.301,,
603759.SH,20260820,7.33,7.49,7.32,7.42,7.32,0.1,1.3661,24827.2,18443.151,,
920634.BJ,20260820,16.49,16.95,16.24,16.32,16.33,-0.01,-0.0612,8307.38,13787.55925,,
688106.SH,20260820,28.39,28.39,27.16,27.36,27.96,-0.6,-2.1459,184383.17,507285.719,,
300940.SZ,20260820,13.46,13.79,13.42,13.74,13.39,0.35,2.6139,38339.93,52343.0261,,
002407.SZ,20260820,36.84,36.99,35.4,36.01,37.52,-1.51,-4.0245,1438019.98,5196860.61043,,
920679.BJ,20260820,15.65,15.68,15.36,15.54,15.49,0.05,0.3228,2347.6,3634.93914,,
002963.SZ,20260820,17.6,17.77,17.08,17.18,17.0,0.18,1.0588,38753.0,67471.443,,
300102.SZ,20260820,18.28,18.36,17.66,17.79,17.87,-0.08,-0.4477,314595.29,563490.48353,,
002907.SZ,20260820,16.26,16.41,14.8,15.15,16.15,-1.0,-6.192,306945.49,474837.68351,,
600641.SH,20260820,33.97,33.97,32.35,32.84,33.15,-0.31,-0.9351,547360.41,1803982.908,,
003002.SZ,20260820,16.03,16.33,15.9,16.1,16.37,-0.27,-1.6494,34237.0,54967.12853,,
