ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
002551.SZ,20260819,3.24,3.6351,4.6584,0.92,,,1.1061,2.5428,2.5967,0.2466,,84549.4578,61118.2331,47692.7578,273940.218,198023.0652
001322.SZ,20260819,5.96,0.4311,1.9524,0.98,125.6994,105.2963,1.2315,0.8889,0.8989,2.186,0.6589,96561.28,78561.1975,17345.0875,575505.2288,468224.752
002338.SZ,20260819,43.49,2.9897,5.1017,1.14,129.6189,106.7148,7.2213,13.0529,12.135,0.138,0.161,24000.0,24000.0,14064.5216,1043760.0,1043760.0
600216.SH,20260819,13.93,7.6711,12.3058,1.13,15.3377,17.8297,1.1917,1.5084,1.5195,2.6296,2.0028,96163.775,95138.9475,59306.9541,1339561.4554,1325285.5735
688128.SH,20260819,21.63,0.6318,2.9695,1.54,16.3706,16.1421,2.4266,1.8358,1.8174,2.3116,2.5428,40450.0,40450.0,8606.9009,874933.5,874933.5
300157.SZ,20260819,3.82,5.0896,6.0803,0.81,71.8633,,,4.0666,3.9858,,,76534.5207,73344.0882,61394.0585,292361.8664,280174.4238
002513.SZ,20260819,5.23,2.87,3.6902,1.46,,,48.9994,0.8387,0.8017,,,37559.3978,28904.1302,22479.6144,196435.662,151168.5999
600657.SH,20260819,2.55,0.67,2.4884,0.81,,,0.4695,1.5863,1.6158,,,285187.8595,285187.8595,76789.1751,727229.043,727229.043
301119.SZ,20260819,20.74,1.5384,4.0627,0.69,26.7865,30.1022,2.8292,6.5758,6.4304,3.1685,0.4133,14560.0,11775.4,4459.0,301974.4,244221.796
600452.SH,20260819,8.95,1.7402,2.9822,0.93,34.9681,31.8532,2.3934,4.5898,4.6881,1.0056,1.1508,153654.1654,153654.1654,89659.9591,1375204.8215,1375204.8215
300359.SZ,20260819,3.99,3.2634,5.1719,0.76,,,4.9294,8.4009,8.7964,,,63333.3422,63330.1697,39960.3938,252700.0266,252687.3783
002211.SZ,20260819,3.69,1.2074,1.9176,0.76,,,33.0583,3.3743,3.1116,,,43247.5779,43247.5779,27230.0036,159583.5702,159583.5702
920414.BJ,20260819,7.88,2.0195,2.3015,0.88,,,2.3418,10.1046,11.0036,,,7974.8171,5607.7587,4920.5829,62841.5587,44189.1386
002813.SZ,20260819,19.92,1.2771,3.7432,1.04,,,11.7917,6.3982,6.9555,,,12000.0,11989.2056,4090.3616,239040.0,238825.0632
002194.SZ,20260819,9.69,6.1654,7.8075,0.49,,,2.6729,4.8974,4.9985,0.7224,,68328.5806,51087.885,40343.2022,662104.0371,495041.6541
920346.BJ,20260819,14.6,1.0537,1.6661,1.25,24.2942,25.0779,2.4216,4.0853,4.124,2.3295,2.3288,8065.3103,4487.8268,2838.4243,117753.5304,65522.2713
301015.SZ,20260819,26.0,3.0285,11.8251,0.97,28.7901,26.6079,5.4905,1.8206,1.8345,2.9307,2.1962,52562.4077,52555.6577,13459.9267,1366622.66,1366447.16
601857.SH,20260819,11.21,0.1274,1.8191,1.82,13.0428,12.9701,1.2629,0.7162,0.7204,4.1927,4.1927,18302097.7818,16192207.7818,1133871.4551,205166516.1138,181514649.2138
002755.SZ,20260819,13.1,0.8943,2.9542,0.81,51.3899,45.652,3.6835,6.8346,6.939,0.916,0.916,92816.0351,92815.0451,28095.6521,1215890.124,1215877.155
600784.SH,20260819,7.92,1.7083,2.7019,1.04,31.5617,36.6937,1.6114,1.5955,1.602,0.8333,0.6313,67565.2277,67565.2277,42717.3376,535116.6216,535116.6216
600774.SH,20260819,7.17,1.3234,3.1768,0.97,,,1.4291,2.0504,2.1108,,,29503.2402,29488.0177,12284.0864,211538.2308,211429.1034
920075.BJ,20260819,15.13,2.3576,3.2928,0.94,45.2312,36.6439,2.4115,1.9024,1.7329,3.0557,2.0458,6481.5,3512.8701,2515.2197,98065.095,53149.7246
300377.SZ,20260819,13.36,3.3909,4.135,0.84,,,4.17,7.3074,7.2038,,,75100.308,69092.2107,56659.5961,1003340.1416,923071.9256
300991.SZ,20260819,27.21,2.6056,4.3327,1.13,,,6.2453,5.5438,5.7911,0.1103,,14400.0,9214.2,5541.15,391824.0,250718.382
301149.SZ,20260819,7.73,1.9257,2.4497,0.93,30.3193,32.7163,2.0454,0.6837,0.6355,1.4927,1.4927,55900.0023,34011.0763,26736.3101,432107.0773,262905.6484
600268.SH,20260819,10.61,1.616,3.4968,0.98,22.4438,21.8854,2.8516,1.1173,1.1434,1.3202,1.8855,101558.6712,101549.545,46930.9971,1077537.5948,1077440.7255
300467.SZ,20260819,33.1,2.8323,2.8323,0.59,262.9086,267.3234,10.3529,23.4427,23.4809,,,20320.4897,17022.1829,17022.1829,672608.219,563434.158
002542.SZ,20260819,1.74,1.4471,2.4769,1.08,,,,3.1232,3.3481,,,180611.6738,175877.1284,102755.3211,314264.3232,306026.2062
301332.SZ,20260819,7.66,1.2852,1.6469,0.72,27.2721,27.6665,1.1896,1.0303,1.0704,1.9445,1.9484,46156.25,26484.024,20667.134,353556.875,202867.5932
600048.SH,20260819,5.23,0.9114,1.5375,0.83,60.506,,0.3227,0.2032,0.209,3.222,0.6633,1197044.3418,1197044.3418,709550.0956,6260541.8982,6260541.8982
000738.SZ,20260819,17.79,1.1272,2.2746,1.48,69.9624,74.4621,1.8576,4.5241,4.5239,0.9668,0.4328,131518.4001,131518.4001,65177.1507,2339712.336,2339712.336
600638.SH,20260819,4.79,1.7647,2.8192,1.24,47.7087,25.1347,0.6898,1.4257,1.4717,0.7724,0.6472,67339.6786,67339.6786,42152.1523,322557.0672,322557.0672
688758.SH,20260819,26.92,4.0617,6.4057,1.01,88.6003,81.0569,8.0869,27.824,25.8909,0.2489,0.3553,41646.4084,29818.3672,18906.9519,1121121.3572,802710.5204
920009.BJ,20260819,35.22,2.5611,2.5611,0.56,27.9424,30.5467,3.9232,11.2726,11.2674,,1.014,7754.6,1008.0,1008.0,273117.012,35501.76
300473.SZ,20260819,21.52,2.71,3.4971,1.28,23.6557,21.2252,1.9396,0.6832,0.6863,,,17266.2383,15051.6238,11664.0996,371569.4482,323910.9442
300123.SZ,20260819,4.37,2.8062,3.2069,1.11,,,14.3069,5.6952,7.126,,,102183.4123,99402.0383,86983.1822,446541.5017,434386.9148
300690.SZ,20260819,20.32,3.0147,3.4887,1.41,21.0389,22.2989,2.0739,3.3339,3.2203,1.0335,1.9045,16534.8919,11158.0258,9641.9092,335989.0034,226731.0843
920222.BJ,20260819,25.3,21.2335,21.2335,0.92,36.6799,36.6799,6.3471,5.8104,5.8104,,,8564.71,1156.259,1156.259,216687.163,29253.3527
688220.SH,20260819,95.47,2.1614,3.7152,1.04,,,7.3405,10.463,9.8927,,,41830.0889,41830.0889,24334.9994,3993518.6923,3993518.6923
002188.SZ,20260819,5.39,8.4862,11.0668,3.06,54.9616,61.0982,4.8889,4.3879,4.2902,,,32710.3864,25736.3007,19735.0005,176309.0021,138718.657
300913.SZ,20260819,34.02,2.6996,6.7607,0.86,50.403,47.1512,4.4024,5.4905,5.3388,0.2671,0.4703,34278.112,28585.432,11414.3741,1166141.3022,972476.3286
002126.SZ,20260819,40.16,2.2712,2.4103,1.22,35.5274,35.465,4.5462,2.1692,2.0603,0.2923,0.2952,84682.1243,79514.7506,74924.3551,3400833.9392,3193312.36
603613.SH,20260819,17.95,1.2869,1.9674,1.14,9.7822,9.7506,1.3797,0.2537,0.2598,0.3668,,72053.7813,72053.7813,47131.2696,1293365.351,1293365.351
