ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
600284.SH,20260820,5.09,1.2483,1.9815,0.61,13.9829,17.5251,0.6193,0.3417,0.3662,3.5363,2.947,97025.6,97025.6,61126.4,493860.0,493860.0,
301567.SZ,20260820,36.02,3.8302,3.8302,0.67,,,3.569,6.5336,6.3798,0.4997,,7200.0,2123.99,2123.99,259344.0,76506.1,
300993.SZ,20260820,9.99,0.9921,1.9219,1.08,20.6901,21.018,1.9282,4.13,3.9476,0.9814,1.9722,30813.1,24185.5,12484.3,307823.0,241613.0,
300399.SZ,20260820,16.93,1.3543,2.4555,0.87,,,6.615,6.855,6.7029,0.2953,0.2953,19760.0,19758.1,10897.6,334537.0,334504.0,
920547.BJ,20260820,18.91,2.4997,3.6159,1.51,23.301,23.0657,2.012,3.6243,3.5741,1.0576,1.0576,7768.8,3776.49,2610.7,146908.0,71413.4,
688626.SH,20260820,45.58,2.5201,7.1479,1.83,93.3103,90.5629,3.4659,9.499,9.4127,0.5074,0.3852,16000.0,16000.0,5641.04,729280.0,729280.0,
600329.SH,20260820,36.28,0.5603,1.3172,1.03,13.1106,32.9413,4.7029,5.6817,5.9175,3.5281,13.2029,77009.4,56708.9,24123.4,2793900.0,2057400.0,
002689.SZ,20260820,2.81,0.6124,1.2567,1.25,29.1262,28.3028,2.3525,2.1317,2.0067,,1.7794,104331.0,104291.0,50823.8,293170.0,293058.0,
002940.SZ,20260820,28.41,10.0077,16.981,2.09,45.6875,45.0593,3.4817,4.0224,4.0376,0.7699,0.8555,20172.8,18527.5,10919.1,573110.0,526366.0,
603602.SH,20260820,11.62,1.3697,1.9711,0.76,,,3.013,1.4621,1.3842,0.5799,0.1657,23105.8,23105.8,16056.2,268489.0,268489.0,
600699.SH,20260820,19.31,1.3778,2.2904,0.8,22.4172,21.4285,1.7086,0.4894,0.4956,1.3359,0.9237,155077.0,139567.0,83956.5,2994540.0,2695040.0,
002731.SZ,20260820,1.29,26.1147,28.9381,2.4,1.5249,1.2067,0.1767,0.0745,0.0735,6.9767,,25615.6,22965.6,20724.9,33044.1,29625.7,
300252.SZ,20260820,11.39,4.2583,4.92,0.95,542.977,241.419,3.5392,3.1189,2.9866,,,68421.4,55875.4,48360.4,779320.0,636421.0,
300821.SZ,20260820,17.31,9.2984,19.4388,1.26,,150.626,4.0522,5.5094,5.4317,0.0867,0.1155,120000.0,119979.0,57391.2,2077200.0,2076840.0,
300098.SZ,20260820,4.45,1.7269,1.82,0.75,,,2.9208,3.8882,3.6429,,,173778.0,154174.0,146286.0,773313.0,686076.0,
003003.SZ,20260820,11.07,2.2041,2.5521,0.95,33.6156,32.8274,1.4856,1.9155,1.9057,1.7835,1.7827,17672.0,11779.6,10173.6,195629.0,130401.0,
002512.SZ,20260820,4.05,1.8516,2.5647,0.57,,,13.7238,2.415,2.215,,,110242.0,109445.0,79014.1,446479.0,443253.0,
688683.SH,20260820,30.01,1.6864,3.3915,1.17,116.213,102.914,3.9964,4.9457,3.7242,0.2098,0.2666,16109.8,16109.8,8010.45,483454.0,483454.0,
601319.SH,20260820,6.92,0.1094,1.3011,0.8,6.5607,7.1819,0.9583,0.4574,0.463,3.6846,3.1791,4422400.0,3549780.0,298560.0,30603000.0,24564400.0,
301397.SZ,20260820,25.41,3.4705,3.4754,0.69,36.3256,39.8203,2.5382,3.5781,3.7396,1.8543,1.5093,20216.7,9245.89,9232.86,513707.0,234938.0,
301115.SZ,20260820,30.58,4.2021,5.5683,0.97,258.57,,2.2465,3.9427,4.0194,1.1247,0.3821,18205.7,14920.2,11259.4,556731.0,456260.0,
002775.SZ,20260820,3.49,1.8493,3.3434,0.66,,,,4.9301,4.3972,,,64532.4,58081.8,32125.8,225218.0,202706.0,
002459.SZ,20260820,7.3,0.6996,1.3323,0.62,,,1.1628,0.4918,0.5068,,,330972.0,330678.0,173647.0,2416090.0,2413950.0,
601136.SH,20260820,13.81,0.2261,1.2838,0.66,35.732,34.2534,2.6684,14.9293,14.1825,1.412,1.2165,273333.0,273333.0,48148.4,3774730.0,3774730.0,
301585.SZ,20260820,26.55,1.0556,1.0556,0.72,39.0129,38.8412,2.7495,5.6918,5.5353,1.1589,0.791,10400.0,6810.89,6810.89,276120.0,180829.0,
600104.SH,20260820,10.18,0.3733,1.229,1.25,11.5797,11.5764,0.3894,0.1811,0.1809,0.8591,2.597,1149530.0,1149530.0,349185.0,11702200.0,11702200.0,
600438.SH,20260820,12.32,0.6692,1.222,0.47,,,1.5864,0.6593,0.6905,,,450199.0,450199.0,246546.0,5546450.0,5546450.0,
603126.SH,20260820,5.98,0.8546,1.732,0.84,266.234,111.423,1.7794,0.9794,0.8659,0.0836,0.1672,61050.0,61050.0,30122.4,365079.0,365079.0,
000096.SZ,20260820,7.92,1.168,2.542,0.62,36.4293,37.1639,1.5174,3.0607,2.9945,0.947,0.947,52800.0,51084.8,23473.0,418176.0,404592.0,
603600.SH,20260820,9.7,1.1028,2.615,0.92,13.7695,12.9625,1.3652,0.6565,0.6393,4.7496,4.7423,33043.3,33043.3,13935.0,320520.0,320520.0,
920985.BJ,20260820,4.62,0.8701,1.4139,0.65,,,2.7523,0.8661,1.3491,5.3175,,30947.6,21931.8,13496.8,142978.0,101325.0,
688203.SH,20260820,11.56,2.1327,4.1111,0.57,237.495,219.424,1.5885,2.7509,2.5637,0.5158,,20267.8,20267.8,10514.3,234296.0,234296.0,
003816.SZ,20260820,3.87,0.2007,1.1728,0.88,20.0126,20.6076,1.5527,2.5818,2.6697,2.4548,2.2222,5049880.0,3933520.0,673004.0,19543000.0,15222700.0,
301148.SZ,20260820,51.49,1.8516,2.7483,0.52,117.171,149.126,3.4056,11.8029,11.8895,0.7534,0.7566,11649.7,5887.31,3966.51,599844.0,303138.0,
000701.SZ,20260820,5.11,3.4023,5.71,2.25,224.054,6.9144,,0.1055,0.1121,,,66831.3,66774.7,39787.9,341508.0,341218.0,
920088.BJ,20260820,45.8,16.875,17.9896,0.98,71.3029,86.7813,5.756,9.035,8.7275,0.1747,0.2183,8807.15,3256.62,3054.85,403367.0,149153.0,
920925.BJ,20260820,12.06,1.9026,2.5435,0.5,77.4069,224.227,3.2421,3.866,4.0463,0.2432,0.411,9858.06,5529.51,4136.32,118888.0,66685.8,
300161.SZ,20260820,27.55,2.8798,4.2849,0.49,335.422,,3.5463,3.4994,3.4486,0.0363,0.0726,19869.7,19499.4,13105.5,547410.0,537209.0,
300298.SZ,20260820,16.4,1.9106,2.9666,1.44,98.5686,68.493,3.0877,1.96,1.8514,1.3321,,55684.6,44800.1,28852.3,913227.0,734722.0,
603967.SH,20260820,11.54,0.5726,1.6859,1.11,15.3377,13.7702,1.6118,0.4519,0.4467,5.1993,5.6326,34666.7,34666.7,11774.6,400053.0,400053.0,
300787.SZ,20260820,10.14,2.5141,3.3397,0.45,33.564,48.6055,2.0634,0.9751,0.9259,1.6437,1.9724,31343.3,19653.3,14794.5,317821.0,199284.0,
300180.SZ,20260820,4.23,1.2609,1.7617,1.02,111.572,2636.68,1.5914,1.8631,1.9477,0.1182,0.1182,176106.0,171267.0,122581.0,744928.0,724459.0,
301280.SZ,20260820,42.2,1.226,2.1562,0.71,38.6691,38.2176,4.0886,4.5945,4.3311,1.4508,0.3385,19149.2,9943.34,5653.77,808097.0,419609.0,
002161.SZ,20260820,5.75,1.3371,1.5264,0.71,276.292,3258.47,2.7966,7.0535,6.8855,0.2609,0.2351,73975.7,73960.9,64788.1,425361.0,425275.0,
601865.SH,20260820,10.27,0.6885,1.634,0.52,24.5381,26.366,1.0921,1.5457,1.587,,1.4503,234288.0,190103.0,80105.1,2406140.0,1952350.0,
600021.SH,20260820,13.63,0.7082,1.6557,0.55,13.8984,15.3511,1.8487,0.9189,0.9304,2.0506,2.7146,282188.0,282188.0,120700.0,3846220.0,3846220.0,
