ts_code,trade_date,vol,price,amount,pre_close,turnover_rate,volume_ratio,float_share
600000.SH,20260821,210400.0,9.09,1912536.0,9.11,0.000631721,0.345638,3330580.0
159210.SZ,20260821,6900.0,0.856,5906.4,0.857,,0.0347535,
159208.SZ,20260821,10700.0,1.018,10892.6,1.02,,0.0741983,
159207.SZ,20260821,229300.0,1.156,265070.8,1.157,,0.203257,
159206.SZ,20260821,1929799.0,1.329,2564702.871,1.339,,0.320409,
159205.SZ,20260821,379500.0,1.711,649324.5,1.72,,0.538589,
159203.SZ,20260821,0.0,,0.0,1.362,,0.0,
159202.SZ,20260821,517000.0,0.821,424457.0,0.826,,0.308077,
159201.SZ,20260821,560200.0,1.181,661596.2,1.184,,0.275542,
159200.SZ,20260821,7400.0,102.085,755429.0,102.085,,0.0183712,
159199.SZ,20260821,0.0,,0.0,0.899,,0.0,
159198.SZ,20260821,152800.0,1.224,187027.2,1.228,,0.130404,
159197.SZ,20260821,200.0,0.904,180.8,0.904,,0.00242344,
159196.SZ,20260821,537800.0,1.225,658805.0,1.224,,0.252554,
159195.SZ,20260821,0.0,,0.0,0.906,,0.0,
159193.SZ,20260821,0.0,,0.0,0.794,,0.0,
159192.SZ,20260821,0.0,,0.0,0.953,,0.0,
159191.SZ,20260821,0.0,,0.0,0.956,,0.0,
159190.SZ,20260821,0.0,,0.0,0.853,,0.0,
159189.SZ,20260821,19100.0,0.895,17094.5,0.891,,0.120263,
