ts_code,trade_date,vol,price,amount,pre_close,turnover_rate,volume_ratio,float_share,auction_pct,label
002536.SZ,20260821,1421500.0,44.83,63725845.0,42.7,0.260671,3.32711,54532.3,4.988290398126449,飞龙股份
002721.SZ,20260821,1560100.0,2.63,4103063.0,2.59,0.0586641,1.27131,265938.0,1.5444015444015413,金一文化
300945.SZ,20260821,112700.0,12.57,1416639.0,12.36,0.0472133,0.973899,23870.4,1.6990291262136026,曼卡龙
300970.SZ,20260821,453800.0,20.5,9302900.0,21.74,0.370508,2.30888,12248.1,-5.703771849126027,华绿生物
300139.SZ,20260821,447200.0,50.69,22668568.0,49.45,0.19139,1.03657,23365.9,2.5075834175935174,晓程科技
300120.SZ,20260821,517900.0,9.2,4764680.0,9.0,0.09819,0.605403,52744.7,2.2222222222222143,经纬辉开
300050.SZ,20260821,112200.0,6.95,779790.0,6.95,0.0206055,0.391897,54451.4,0.0,世纪鼎利
300668.SZ,20260821,55600.0,34.07,1894292.0,34.39,0.0557707,0.692792,9969.39,-0.9305030532131386,杰恩股份
300757.SZ,20260821,23300.0,511.02,11906766.0,503.11,0.0143326,0.339243,16256.7,1.5722207867066684,罗博特科
600459.SH,20260821,499300.0,21.2,10585160.0,21.3,0.0657228,1.16863,75970.6,-0.46948356807512415,贵研铂业
600368.SH,20260821,3166200.0,4.1,12981420.0,3.96,0.196701,24.716,160965.0,3.535353535353525,五洲交通
600256.SH,20260821,1094100.0,6.2,6783420.0,6.12,0.0171167,1.02777,639200.0,1.3071895424836555,广汇能源
601919.SH,20260821,347800.0,16.7,5808260.0,16.64,0.00276987,0.341804,1255650.0,0.36057692307691624,中远海控(疑似中海远控)
601857.SH,20260821,889200.0,11.05,9825660.0,10.99,0.000549153,0.683235,16192200.0,0.5459508644221955,中国石油
600919.SH,20260821,430100.0,12.06,5187006.0,12.1,0.0023437,0.440415,1835130.0,-0.33057851239668423,江苏银行
001210.SZ,20260821,332500.0,29.76,9895200.0,29.76,0.249213,2.96671,13342.0,0.0,金房能源
000520.SZ,20260821,1216200.0,4.41,5363442.0,4.41,0.120168,3.83438,101208.0,0.0,凤凰航运
000703.SZ,20260821,1288719.0,20.12,25929026.28,20.1,0.0338923,1.1312,380239.0,0.09950248756218638,恒逸石化
