ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ah_vol,ah_amount,label
000703.SZ,20260821,20.12,20.93,19.7,20.8,20.1,0.7,3.4826,1162391.25,2374865.00312,,,恒逸石化
300970.SZ,20260821,20.5,20.53,18.75,19.18,21.74,-2.56,-11.7755,300326.07,577699.76641,,,华绿生物
601857.SH,20260821,11.05,11.39,11.05,11.2,10.99,0.21,1.9108,1373368.36,1546461.378,,,中国石油
600919.SH,20260821,12.06,12.16,11.93,11.94,12.1,-0.16,-1.3223,817325.04,980902.126,,,江苏银行
300050.SZ,20260821,6.95,6.95,6.69,6.86,6.95,-0.09,-1.295,208707.4,142322.1546,,,世纪鼎利
300668.SZ,20260821,34.07,34.56,32.74,33.5,34.39,-0.89,-2.588,61512.0,206673.672,,,杰恩股份
001210.SZ,20260821,29.76,29.76,27.51,28.65,29.76,-1.11,-3.7298,184410.27,523717.6383,,,金房能源
000520.SZ,20260821,4.41,4.41,4.16,4.27,4.41,-0.14,-3.1746,676043.25,287131.95525,,,凤凰航运
300757.SZ,20260821,511.02,524.7,501.0,504.6,503.11,1.49,0.2962,55078.11,2822376.85297,,,罗博特科
300945.SZ,20260821,12.57,12.88,12.3,12.72,12.36,0.36,2.9126,188226.86,236862.4246,,,曼卡龙
002721.SZ,20260821,2.63,2.82,2.61,2.73,2.59,0.14,5.4054,2049455.29,553394.9182,,,金一文化
600459.SH,20260821,21.2,22.26,21.2,21.87,21.3,0.57,2.6761,359686.16,784149.718,,,贵研铂业
002536.SZ,20260821,44.83,46.97,44.7,46.97,42.7,4.27,10.0,359543.62,1653153.38379,,,飞龙股份
300139.SZ,20260821,50.69,54.0,49.46,53.68,49.45,4.23,8.5541,686319.38,3557725.60664,,,晓程科技
600256.SH,20260821,6.2,6.29,6.13,6.23,6.12,0.11,1.7974,1698129.73,1055265.868,,,广汇能源
600368.SH,20260821,4.1,4.15,4.0,4.02,3.96,0.06,1.5152,426953.43,172671.281,,,五洲交通
300120.SZ,20260821,9.2,9.26,8.8,9.0,9.0,0.0,0.0,535987.83,483482.931,,,经纬辉开
601919.SH,20260821,16.7,17.08,16.64,17.01,16.64,0.37,2.2236,1121880.3,1898838.124,,,中远海控(疑似中海远控)
