ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status,label
000703.SZ,20260821,,3.057,,,,13.3975,2.6662,,,,,,,,7948850.0,,,恒逸石化
300970.SZ,20260821,,24.5203,,,,14.4894,1.8676,,,,,,,,304363.0,,,华绿生物
601857.SH,20260821,,0.0848,,,,12.9585,1.2618,,,,,,,,204983000.0,,,中国石油
600919.SH,20260821,,0.4454,,,,6.0632,0.8075,,,,,,,,21911500.0,,,江苏银行
300050.SZ,20260821,,3.8329,,,,223.527,9.0566,,,,,,,,373765.0,,,世纪鼎利
300668.SZ,20260821,,6.1701,,,,404.041,5.1717,,,,,,,,403277.0,,,杰恩股份
001210.SZ,20260821,,13.8218,,,,46.3912,4.4187,,,,,,,,628976.0,,,金房能源
000520.SZ,20260821,,6.6797,,,,,9.6647,,,,,,,,432160.0,,,凤凰航运
300757.SZ,20260821,,3.388,,,,,52.0254,,,,,,,,8457500.0,,,罗博特科
300945.SZ,20260821,,7.8854,,,,25.9037,1.9216,,,,,,,,333355.0,,,曼卡龙
002721.SZ,20260821,,7.7065,,,,86.8952,3.3735,,,,,,,,726010.0,,,金一文化
600459.SH,20260821,,4.7345,,,,27.0619,1.9936,,,,,,,,1800510.0,,,贵研铂业
002536.SZ,20260821,,6.5932,,,,148.18,8.108,,,,,,,,2699770.0,,,飞龙股份
300139.SZ,20260821,,29.3727,,,,89.312,12.4721,,,,,,,,1470830.0,,,晓程科技
600256.SH,20260821,,2.6566,,,,22.4954,1.5936,,,,,,,,3982220.0,,,广汇能源
600368.SH,20260821,,2.6525,,,,11.5999,0.8729,,,,,,,,647081.0,,,五洲交通
300120.SZ,20260821,,10.1619,,,,,2.0609,,,,,,,,516954.0,,,经纬辉开
601919.SH,20260821,,0.8935,,,,10.3675,1.1019,,,,,,,,25971100.0,,,中远海控(疑似中海远控)
