trade_date,ts_code,up_limit,down_limit,label
20260821,002536.SZ,46.97,38.43,飞龙股份
20260820,002536.SZ,45.98,37.62,飞龙股份
20260819,002536.SZ,50.59,41.39,飞龙股份
20260818,002536.SZ,50.72,41.5,飞龙股份
20260817,002536.SZ,46.86,38.34,飞龙股份
20260814,002536.SZ,45.82,37.49,飞龙股份
20260813,002536.SZ,47.14,38.57,飞龙股份
20260812,002536.SZ,43.69,35.75,飞龙股份
20260811,002536.SZ,43.47,35.57,飞龙股份
20260810,002536.SZ,43.57,35.65,飞龙股份
20260807,002536.SZ,41.64,34.07,飞龙股份
20260806,002536.SZ,41.99,34.35,飞龙股份
20260805,002536.SZ,38.18,31.24,飞龙股份
20260804,002536.SZ,34.71,28.4,飞龙股份
20260803,002536.SZ,38.06,31.14,飞龙股份
20260821,300139.SZ,59.34,39.56,晓程科技
20260820,300139.SZ,56.02,37.34,晓程科技
20260819,300139.SZ,55.73,37.15,晓程科技
20260818,300139.SZ,56.41,37.61,晓程科技
20260817,300139.SZ,55.36,36.9,晓程科技
20260814,300139.SZ,57.07,38.05,晓程科技
20260813,300139.SZ,62.7,41.8,晓程科技
20260812,300139.SZ,59.4,39.6,晓程科技
20260811,300139.SZ,62.99,41.99,晓程科技
20260810,300139.SZ,57.6,38.4,晓程科技
20260807,300139.SZ,55.25,36.83,晓程科技
20260806,300139.SZ,53.65,35.77,晓程科技
20260805,300139.SZ,47.95,31.97,晓程科技
20260804,300139.SZ,47.02,31.34,晓程科技
20260803,300139.SZ,47.41,31.61,晓程科技
20260821,600256.SH,6.73,5.51,广汇能源
20260820,600256.SH,6.78,5.54,广汇能源
20260819,600256.SH,6.73,5.51,广汇能源
20260818,600256.SH,6.52,5.34,广汇能源
20260817,600256.SH,6.48,5.3,广汇能源
20260814,600256.SH,6.36,5.2,广汇能源
20260813,600256.SH,6.48,5.3,广汇能源
20260812,600256.SH,6.46,5.28,广汇能源
20260811,600256.SH,6.37,5.21,广汇能源
20260810,600256.SH,6.24,5.1,广汇能源
20260807,600256.SH,6.15,5.03,广汇能源
20260806,600256.SH,5.91,4.83,广汇能源
20260805,600256.SH,5.93,4.85,广汇能源
20260804,600256.SH,5.95,4.87,广汇能源
20260803,600256.SH,6.0,4.91,广汇能源
20260821,600368.SH,4.36,3.56,五洲交通
20260820,600368.SH,4.33,3.55,五洲交通
20260819,600368.SH,4.38,3.58,五洲交通
20260818,600368.SH,4.37,3.57,五洲交通
20260817,600368.SH,4.32,3.54,五洲交通
20260814,600368.SH,4.35,3.56,五洲交通
20260813,600368.SH,4.42,3.62,五洲交通
20260812,600368.SH,4.39,3.59,五洲交通
20260811,600368.SH,4.48,3.66,五洲交通
20260810,600368.SH,4.32,3.54,五洲交通
20260807,600368.SH,4.32,3.54,五洲交通
20260806,600368.SH,4.31,3.53,五洲交通
20260805,600368.SH,4.29,3.51,五洲交通
20260804,600368.SH,4.36,3.56,五洲交通
20260803,600368.SH,4.27,3.49,五洲交通
20260821,300120.SZ,10.8,7.2,经纬辉开
20260820,300120.SZ,10.44,6.96,经纬辉开
20260819,300120.SZ,10.99,7.33,经纬辉开
20260818,300120.SZ,11.46,7.64,经纬辉开
20260817,300120.SZ,11.11,7.41,经纬辉开
20260814,300120.SZ,9.26,6.18,经纬辉开
20260813,300120.SZ,8.5,5.66,经纬辉开
20260812,300120.SZ,8.26,5.5,经纬辉开
20260811,300120.SZ,8.26,5.5,经纬辉开
20260810,300120.SZ,8.15,5.43,经纬辉开
20260807,300120.SZ,8.18,5.46,经纬辉开
20260806,300120.SZ,8.06,5.38,经纬辉开
20260805,300120.SZ,7.9,5.26,经纬辉开
20260804,300120.SZ,7.76,5.18,经纬辉开
20260803,300120.SZ,7.56,5.04,经纬辉开
20260821,601919.SH,18.3,14.98,中远海控(疑似中海远控)
20260820,601919.SH,18.21,14.9,中远海控(疑似中海远控)
20260819,601919.SH,17.94,14.68,中远海控(疑似中海远控)
20260818,601919.SH,17.57,14.37,中远海控(疑似中海远控)
20260817,601919.SH,16.93,13.85,中远海控(疑似中海远控)
20260814,601919.SH,16.78,13.73,中远海控(疑似中海远控)
20260813,601919.SH,16.96,13.88,中远海控(疑似中海远控)
20260812,601919.SH,17.03,13.93,中远海控(疑似中海远控)
20260811,601919.SH,17.2,14.08,中远海控(疑似中海远控)
20260810,601919.SH,16.97,13.89,中远海控(疑似中海远控)
20260807,601919.SH,16.91,13.83,中远海控(疑似中海远控)
20260806,601919.SH,16.94,13.86,中远海控(疑似中海远控)
20260805,601919.SH,16.9,13.82,中远海控(疑似中海远控)
20260804,601919.SH,17.29,14.15,中远海控(疑似中海远控)
20260803,601919.SH,17.19,14.07,中远海控(疑似中海远控)
