ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ah_vol,ah_amount,label,up_limit,down_limit,open_pct,is_open_limit,is_close_limit,price,auction_pct,vol_auc,amount_auc,turnover_rate,volume_ratio,float_share
000703.SZ,20260821,20.12,20.93,19.7,20.8,20.1,0.7,3.4826,1162391.25,2374865.00312,,,恒逸石化,22.11,18.09,0.09950248756218638,False,False,20.12,0.09950248756218638,1288719.0,25929026.28,0.0338923,1.1312,380239.0
300970.SZ,20260821,20.5,20.53,18.75,19.18,21.74,-2.56,-11.7755,300326.07,577699.76641,,,华绿生物,26.09,17.39,-5.703771849126027,False,False,20.5,-5.703771849126027,453800.0,9302900.0,0.370508,2.30888,12248.1
601857.SH,20260821,11.05,11.39,11.05,11.2,10.99,0.21,1.9108,1373368.36,1546461.378,,,中国石油,12.09,9.89,0.5459508644221955,False,False,11.05,0.5459508644221955,889200.0,9825660.0,0.000549153,0.683235,16192200.0
600919.SH,20260821,12.06,12.16,11.93,11.94,12.1,-0.16,-1.3223,817325.04,980902.126,,,江苏银行,13.31,10.89,-0.33057851239668423,False,False,12.06,-0.33057851239668423,430100.0,5187006.0,0.0023437,0.440415,1835130.0
300050.SZ,20260821,6.95,6.95,6.69,6.86,6.95,-0.09,-1.295,208707.4,142322.1546,,,世纪鼎利,8.34,5.56,0.0,False,False,6.95,0.0,112200.0,779790.0,0.0206055,0.391897,54451.4
300668.SZ,20260821,34.07,34.56,32.74,33.5,34.39,-0.89,-2.588,61512.0,206673.672,,,杰恩股份,41.27,27.51,-0.9305030532131386,False,False,34.07,-0.9305030532131386,55600.0,1894292.0,0.0557707,0.692792,9969.39
001210.SZ,20260821,29.76,29.76,27.51,28.65,29.76,-1.11,-3.7298,184410.27,523717.6383,,,金房能源,32.74,26.78,0.0,False,False,29.76,0.0,332500.0,9895200.0,0.249213,2.96671,13342.0
000520.SZ,20260821,4.41,4.41,4.16,4.27,4.41,-0.14,-3.1746,676043.25,287131.95525,,,凤凰航运,4.85,3.97,0.0,False,False,4.41,0.0,1216200.0,5363442.0,0.120168,3.83438,101208.0
300757.SZ,20260821,511.02,524.7,501.0,504.6,503.11,1.49,0.2962,55078.11,2822376.85297,,,罗博特科,603.73,402.49,1.5722207867066684,False,False,511.02,1.5722207867066684,23300.0,11906766.0,0.0143326,0.339243,16256.7
300945.SZ,20260821,12.57,12.88,12.3,12.72,12.36,0.36,2.9126,188226.86,236862.4246,,,曼卡龙,14.83,9.89,1.6990291262136026,False,False,12.57,1.6990291262136026,112700.0,1416639.0,0.0472133,0.973899,23870.4
002721.SZ,20260821,2.63,2.82,2.61,2.73,2.59,0.14,5.4054,2049455.29,553394.9182,,,金一文化,2.85,2.33,1.5444015444015413,False,False,2.63,1.5444015444015413,1560100.0,4103063.0,0.0586641,1.27131,265938.0
600459.SH,20260821,21.2,22.26,21.2,21.87,21.3,0.57,2.6761,359686.16,784149.718,,,贵研铂业,23.43,19.17,-0.46948356807512415,False,False,21.2,-0.46948356807512415,499300.0,10585160.0,0.0657228,1.16863,75970.6
002536.SZ,20260821,44.83,46.97,44.7,46.97,42.7,4.27,10.0,359543.62,1653153.38379,,,飞龙股份,46.97,38.43,4.988290398126449,False,True,44.83,4.988290398126449,1421500.0,63725845.0,0.260671,3.32711,54532.3
300139.SZ,20260821,50.69,54.0,49.46,53.68,49.45,4.23,8.5541,686319.38,3557725.60664,,,晓程科技,59.34,39.56,2.5075834175935174,False,False,50.69,2.5075834175935174,447200.0,22668568.0,0.19139,1.03657,23365.9
600256.SH,20260821,6.2,6.29,6.13,6.23,6.12,0.11,1.7974,1698129.73,1055265.868,,,广汇能源,6.73,5.51,1.3071895424836555,False,False,6.2,1.3071895424836555,1094100.0,6783420.0,0.0171167,1.02777,639200.0
600368.SH,20260821,4.1,4.15,4.0,4.02,3.96,0.06,1.5152,426953.43,172671.281,,,五洲交通,4.36,3.56,3.535353535353525,False,False,4.1,3.535353535353525,3166200.0,12981420.0,0.196701,24.716,160965.0
300120.SZ,20260821,9.2,9.26,8.8,9.0,9.0,0.0,0.0,535987.83,483482.931,,,经纬辉开,10.8,7.2,2.2222222222222143,False,False,9.2,2.2222222222222143,517900.0,4764680.0,0.09819,0.605403,52744.7
601919.SH,20260821,16.7,17.08,16.64,17.01,16.64,0.37,2.2236,1121880.3,1898838.124,,,中远海控(疑似中海远控),18.3,14.98,0.36057692307691624,False,False,16.7,0.36057692307691624,347800.0,5808260.0,0.00276987,0.341804,1255650.0
