ts_code,trade_date,vol,price,amount,pre_close,turnover_rate,volume_ratio,float_share
600000.SH,20260820,590922.0,9.03,5336026.0,9.08,0.00177423,1.01901,3330580.0
159212.SZ,20260820,23900.0,1.465,35013.5,1.462,,0.241689,
159210.SZ,20260820,116700.0,0.845,98611.5,0.838,,0.610619,
159209.SZ,20260820,81600.0,1.137,92779.2,1.137,,0.111791,
159208.SZ,20260820,246500.0,1.02,251430.0,1.027,,1.74201,
159207.SZ,20260820,545700.0,1.146,625372.2,1.147,,0.549877,
159206.SZ,20260820,5660600.0,1.368,7743700.8,1.37,,1.01017,
159205.SZ,20260820,504400.0,1.72,867568.0,1.713,,0.713228,
159203.SZ,20260820,0.0,,0.0,1.365,,0.0,
159202.SZ,20260820,715400.0,0.829,593066.6,0.818,,0.419576,
159201.SZ,20260820,272400.0,1.177,320614.8,1.175,,0.11816,
159200.SZ,20260820,0.0,,0.0,102.091,,0.0,
159199.SZ,20260820,0.0,,0.0,0.903,,0.0,
159198.SZ,20260820,1053400.0,1.241,1307269.4,1.217,,0.836697,
159197.SZ,20260820,900.0,0.907,816.3,0.907,,0.0105037,
159196.SZ,20260820,1473900.0,1.229,1811423.1,1.213,,0.600225,
159195.SZ,20260820,0.0,,0.0,0.908,,0.0,
159193.SZ,20260820,2800.0,0.798,2234.4,0.798,,0.0274631,
159192.SZ,20260820,0.0,,0.0,0.95,,0.0,
159191.SZ,20260820,7200.0,0.95,6840.0,0.938,,0.255373,
159190.SZ,20260820,0.0,,0.0,0.855,,0.0,
159189.SZ,20260820,12700.0,0.89,11303.0,0.891,,0.0783348,
159188.SZ,20260820,0.0,,0.0,0.933,,0.0,
159187.SZ,20260820,30400.0,0.862,26204.8,0.863,,0.669912,
159186.SZ,20260820,600.0,0.753,451.8,0.752,,0.016951,
159185.SZ,20260820,149800.0,1.099,164630.2,1.08,,0.0966145,
159183.SZ,20260820,0.0,,0.0,0.868,,0.0,
159182.SZ,20260820,0.0,,0.0,0.922,,0.0,
159181.SZ,20260820,200.0,0.889,177.8,0.889,,0.00280314,
159211.SZ,20260820,0.0,,0.0,1.44,,0.0,
159213.SZ,20260820,32500.0,1.161,37732.5,1.152,,0.0914077,
159179.SZ,20260820,0.0,,0.0,0.851,,0.0,
159215.SZ,20260820,2100.0,1.304,2738.4,1.3,,0.012586,
159245.SZ,20260820,2200.0,0.795,1749.0,0.794,,0.090985,
159243.SZ,20260820,13300.0,1.266,16837.8,1.247,,0.03755,
159242.SZ,20260820,98400.0,2.091,205754.4,2.07,,0.166743,
159241.SZ,20260820,217300.0,1.005,218386.5,1.01,,0.23019,
