ts_code,symbol,name,area,industry,market,list_date
000001.SZ,1.0,平安银行,深圳,银行,主板,19910403
000002.SZ,2.0,万科A,深圳,全国地产,主板,19910129
000006.SZ,6.0,深振业A,深圳,区域地产,主板,19920427
000007.SZ,7.0,全新好,深圳,其他商业,主板,19920413
000008.SZ,8.0,神州高铁,北京,运输设备,主板,19920507
000009.SZ,9.0,中国宝安,深圳,电气设备,主板,19910625
000010.SZ,10.0,*ST美丽,深圳,建筑工程,主板,19951027
000011.SZ,11.0,深物业A,深圳,房产服务,主板,19920330
000012.SZ,12.0,南玻A,深圳,玻璃,主板,19920228
000014.SZ,14.0,沙河股份,深圳,全国地产,主板,19920602
000016.SZ,16.0,*ST康佳A,深圳,家用电器,主板,19920327
000017.SZ,17.0,深中华A,深圳,服饰,主板,19920331
000019.SZ,19.0,深粮控股,深圳,农业综合,主板,19921012
000020.SZ,20.0,深华发A,深圳,元器件,主板,19920428
000021.SZ,21.0,深科技,深圳,元器件,主板,19940202
000025.SZ,25.0,特力A,深圳,综合类,主板,19930621
000026.SZ,26.0,飞亚达,深圳,服饰,主板,19930603
000027.SZ,27.0,深圳能源,深圳,火力发电,主板,19930903
000028.SZ,28.0,国药一致,深圳,医药商业,主板,19930809
000029.SZ,29.0,深深房A,深圳,区域地产,主板,19930915
000030.SZ,30.0,富奥股份,吉林,汽车配件,主板,19930929
000031.SZ,31.0,大悦城,深圳,全国地产,主板,19931008
000032.SZ,32.0,深桑达A,深圳,建筑工程,主板,19931028
000034.SZ,34.0,神州数码,深圳,软件服务,主板,19940509
000035.SZ,35.0,中国天楹,江苏,环境保护,主板,19940408
000036.SZ,36.0,华联控股,深圳,全国地产,主板,19940617
000037.SZ,37.0,深南电A,深圳,火力发电,主板,19940701
000039.SZ,39.0,中集集团,深圳,运输设备,主板,19940408
000042.SZ,42.0,中洲控股,深圳,全国地产,主板,19940921
000045.SZ,45.0,深纺织A,深圳,元器件,主板,19940815
000048.SZ,48.0,京基智农,深圳,农业综合,主板,19941101
000049.SZ,49.0,德赛电池,深圳,电气设备,主板,19950320
000050.SZ,50.0,深天马A,深圳,元器件,主板,19950315
000055.SZ,55.0,方大集团,深圳,其他建材,主板,19960415
000056.SZ,56.0,*ST皇庭,深圳,其他商业,主板,19960708
000058.SZ,58.0,深赛格,深圳,商品城,主板,19961226
000059.SZ,59.0,华锦股份,辽宁,石油加工,主板,19970130
000060.SZ,60.0,中金岭南,深圳,铅锌,主板,19970123
000061.SZ,61.0,农产品,深圳,农业综合,主板,19970110
000062.SZ,62.0,深圳华强,深圳,元器件,主板,19970130
000063.SZ,63.0,中兴通讯,深圳,通信设备,主板,19971118
