ts_code,symbol,name,area,industry,market,list_date
600000.SH,600000.0,浦发银行,上海,银行,主板,19991110
600004.SH,600004.0,白云机场,广东,机场,主板,20030428
600006.SH,600006.0,东风股份,湖北,汽车整车,主板,19990727
600007.SH,600007.0,中国国贸,北京,园区开发,主板,19990312
600008.SH,600008.0,首创环保,北京,水务,主板,20000427
600009.SH,600009.0,上海机场,上海,机场,主板,19980218
600010.SH,600010.0,包钢股份,内蒙,普钢,主板,20010309
600011.SH,600011.0,华能国际,北京,火力发电,主板,20011206
600012.SH,600012.0,皖通高速,安徽,路桥,主板,20030107
600015.SH,600015.0,华夏银行,北京,银行,主板,20030912
600016.SH,600016.0,民生银行,北京,银行,主板,20001219
600017.SH,600017.0,日照港,山东,港口,主板,20061017
600018.SH,600018.0,上港集团,上海,港口,主板,20061026
600019.SH,600019.0,宝钢股份,上海,普钢,主板,20001212
600020.SH,600020.0,中原高速,河南,路桥,主板,20030808
600021.SH,600021.0,上海电力,上海,火力发电,主板,20031029
600022.SH,600022.0,山东钢铁,山东,普钢,主板,20040629
600023.SH,600023.0,浙能电力,浙江,火力发电,主板,20131219
600025.SH,600025.0,华能水电,云南,水力发电,主板,20171215
600026.SH,600026.0,中远海能,上海,水运,主板,20020523
600027.SH,600027.0,华电国际,山东,火力发电,主板,20050203
600028.SH,600028.0,中国石化,北京,石油加工,主板,20010808
600029.SH,600029.0,南方航空,广东,空运,主板,20030725
600030.SH,600030.0,中信证券,深圳,证券,主板,20030106
600031.SH,600031.0,三一重工,北京,工程机械,主板,20030703
600032.SH,600032.0,浙江新能,浙江,新型电力,主板,20210525
600033.SH,600033.0,福建高速,福建,路桥,主板,20010209
600035.SH,600035.0,楚天高速,湖北,路桥,主板,20040310
600036.SH,600036.0,招商银行,深圳,银行,主板,20020409
600037.SH,600037.0,歌华有线,北京,影视音像,主板,20010208
600038.SH,600038.0,中直股份,黑龙江,航空,主板,20001218
600039.SH,600039.0,四川路桥,四川,建筑工程,主板,20030325
600048.SH,600048.0,保利发展,广东,全国地产,主板,20060731
600050.SH,600050.0,中国联通,北京,电信运营,主板,20021009
600051.SH,600051.0,宁波联合,浙江,综合类,主板,19970410
600052.SH,600052.0,东望时代,浙江,供气供热,主板,19970415
600053.SH,600053.0,*ST九鼎,江西,多元金融,主板,19970418
600054.SH,600054.0,黄山旅游,安徽,旅游景点,主板,19970506
600055.SH,600055.0,万东医疗,北京,医疗保健,主板,19970519
600056.SH,600056.0,中国医药,北京,医药商业,主板,19970515
600057.SH,600057.0,厦门象屿,福建,仓储物流,主板,19970604
600058.SH,600058.0,五矿发展,北京,商贸代理,主板,19970528
600059.SH,600059.0,古越龙山,浙江,红黄酒,主板,19970516
600060.SH,600060.0,海信视像,山东,家用电器,主板,19970422
600061.SH,600061.0,国投资本,上海,证券,主板,19970519
600062.SH,600062.0,华润双鹤,北京,化学制药,主板,19970522
600063.SH,600063.0,皖维高新,安徽,化纤,主板,19970528
600064.SH,600064.0,南京高科,江苏,园区开发,主板,19970506
600066.SH,600066.0,宇通客车,河南,汽车整车,主板,19970508
600067.SH,600067.0,冠城新材,福建,电气设备,主板,19970508
600071.SH,600071.0,凤凰光学,江西,元器件,主板,19970528
600072.SH,600072.0,中船科技,上海,电气设备,主板,19970603
600073.SH,600073.0,光明肉业,上海,食品,主板,19970704
600075.SH,600075.0,新疆天业,新疆,化工原料,主板,19970617
600076.SH,600076.0,康欣新材,山东,广告包装,主板,19970526
600078.SH,600078.0,澄星股份,江苏,化工原料,主板,19970627
600079.SH,600079.0,ST人福,湖北,化学制药,主板,19970606
600080.SH,600080.0,ST金花,陕西,中成药,主板,19970612
600081.SH,600081.0,东风科技,上海,汽车配件,主板,19970703
600082.SH,600082.0,ST海泰,天津,园区开发,主板,19970620
600084.SH,600084.0,*ST尼雅,新疆,红黄酒,主板,19970711
600085.SH,600085.0,同仁堂,北京,中成药,主板,19970625
600088.SH,600088.0,中视传媒,上海,影视音像,主板,19970616
600089.SH,600089.0,特变电工,新疆,电气设备,主板,19970618
600094.SH,600094.0,大名城,上海,区域地产,主板,19970703
600095.SH,600095.0,湘财股份,黑龙江,证券,主板,19970708
600096.SH,600096.0,云天化,云南,农药化肥,主板,19970709
600097.SH,600097.0,开创国际,上海,渔业,主板,19970619
600098.SH,600098.0,广州发展,广东,火力发电,主板,19970718
600099.SH,600099.0,林海股份,江苏,汽车整车,主板,19970704
600100.SH,600100.0,同方股份,北京,IT设备,主板,19970627
600101.SH,600101.0,明星电力,四川,水力发电,主板,19970627
600103.SH,600103.0,青山纸业,福建,造纸,主板,19970703
600104.SH,600104.0,上汽集团,上海,汽车整车,主板,19971125
600105.SH,600105.0,永鼎股份,江苏,通信设备,主板,19970929
600106.SH,600106.0,重庆路桥,重庆,路桥,主板,19970618
600107.SH,600107.0,*ST尔雅,湖北,服饰,主板,19971106
600108.SH,600108.0,亚盛集团,甘肃,种植业,主板,19970818
600109.SH,600109.0,国金证券,四川,证券,主板,19970807
600110.SH,600110.0,诺德股份,吉林,电气设备,主板,19971007
600111.SH,600111.0,北方稀土,内蒙,小金属,主板,19970924
600113.SH,600113.0,浙江东日,浙江,区域地产,主板,19971021
600114.SH,600114.0,东睦股份,浙江,机械基件,主板,20040511
600115.SH,600115.0,中国东航,上海,空运,主板,19971105
600116.SH,600116.0,三峡水利,重庆,水力发电,主板,19970804
600117.SH,600117.0,西宁特钢,青海,特种钢,主板,19971015
600118.SH,600118.0,中国卫星,北京,航空,主板,19970908
600119.SH,600119.0,*ST长投,上海,仓储物流,主板,19980115
600120.SH,600120.0,浙江东方,浙江,多元金融,主板,19971201
600121.SH,600121.0,郑州煤电,河南,煤炭开采,主板,19980107
600123.SH,600123.0,兰花科创,山西,煤炭开采,主板,19981217
600125.SH,600125.0,铁龙物流,辽宁,铁路,主板,19980511
600126.SH,600126.0,杭钢股份,浙江,普钢,主板,19980311
600127.SH,600127.0,金健米业,湖南,农业综合,主板,19980506
600128.SH,600128.0,苏豪弘业,江苏,商贸代理,主板,19970901
600129.SH,600129.0,太极集团,重庆,中成药,主板,19971118
600130.SH,600130.0,波导股份,浙江,元器件,主板,20000706
600131.SH,600131.0,国网信通,四川,通信设备,主板,19980402
600132.SH,600132.0,重庆啤酒,重庆,啤酒,主板,19971030
600133.SH,600133.0,东湖高新,湖北,环境保护,主板,19980212
600135.SH,600135.0,乐凯胶片,河北,塑料,主板,19980122
600136.SH,600136.0,ST明诚,湖北,房产服务,主板,19980303
600137.SH,600137.0,浪莎股份,四川,服饰,主板,19980416
600138.SH,600138.0,中青旅,北京,旅游景点,主板,19971203
600141.SH,600141.0,兴发集团,湖北,农药化肥,主板,19990616
600143.SH,600143.0,金发科技,广东,塑料,主板,20040623
600148.SH,600148.0,长春一东,吉林,汽车配件,主板,19980520
600149.SH,600149.0,廊坊发展,河北,综合类,主板,19991014
600150.SH,600150.0,中国船舶,上海,船舶,主板,19980520
600151.SH,600151.0,航天机电,上海,汽车配件,主板,19980605
600152.SH,600152.0,维科技术,浙江,电气设备,主板,19980609
600153.SH,600153.0,建发股份,福建,仓储物流,主板,19980616
600155.SH,600155.0,华创云信,北京,证券,主板,19980918
600156.SH,600156.0,华升股份,湖南,纺织,主板,19980527
600157.SH,600157.0,永泰能源,山西,火力发电,主板,19980513
600158.SH,600158.0,中体产业,天津,文教休闲,主板,19980327
600159.SH,600159.0,大龙地产,北京,区域地产,主板,19980526
600160.SH,600160.0,巨化股份,浙江,化工原料,主板,19980626
600161.SH,600161.0,天坛生物,北京,生物制药,主板,19980616
600162.SH,600162.0,香江控股,深圳,全国地产,主板,19980609
600163.SH,600163.0,中闽能源,福建,新型电力,主板,19980602
600165.SH,600165.0,ST宁科,宁夏,化工原料,主板,19980529
600166.SH,600166.0,福田汽车,北京,汽车整车,主板,19980602
600167.SH,600167.0,联美控股,辽宁,供气供热,主板,19990128
600168.SH,600168.0,武汉控股,湖北,水务,主板,19980427
600169.SH,600169.0,ST太重,山西,工程机械,主板,19980904
600170.SH,600170.0,上海建工,上海,建筑工程,主板,19980623
600171.SH,600171.0,上海贝岭,上海,半导体,主板,19980924
600172.SH,600172.0,黄河旋风,河南,矿物制品,主板,19981126
600173.SH,600173.0,卧龙新能,浙江,全国地产,主板,19990415
600176.SH,600176.0,中国巨石,浙江,玻璃,主板,19990422
600177.SH,600177.0,雅戈尔,浙江,服饰,主板,19981119
600178.SH,600178.0,东安动力,黑龙江,汽车配件,主板,19981014
600179.SH,600179.0,安通控股,福建,水运,主板,19981104
600180.SH,600180.0,*ST瑞茂,山东,仓储物流,主板,19980703
600182.SH,600182.0,S佳通,黑龙江,汽车配件,主板,19990507
600183.SH,600183.0,生益科技,广东,元器件,主板,19981028
600184.SH,600184.0,光电股份,湖北,专用机械,主板,20031106
600185.SH,600185.0,珠免集团,广东,旅游服务,主板,19990611
600186.SH,600186.0,莲花控股,河南,食品,主板,19980825
600187.SH,600187.0,*ST国中,黑龙江,水务,主板,19981111
600188.SH,600188.0,兖矿能源,山东,煤炭开采,主板,19980701
600189.SH,600189.0,泉阳泉,吉林,软饮料,主板,19981007
600191.SH,600191.0,华资实业,内蒙,食品,主板,19981210
600192.SH,600192.0,长城电工,甘肃,电气设备,主板,19981224
600195.SH,600195.0,中牧股份,北京,农业综合,主板,19990107
600196.SH,600196.0,复星医药,上海,化学制药,主板,19980807
600197.SH,600197.0,伊力特,新疆,白酒,主板,19990916
600198.SH,600198.0,大唐电信,北京,通信设备,主板,19981021
600199.SH,600199.0,金种子酒,安徽,白酒,主板,19980812
600201.SH,600201.0,生物股份,内蒙,农业综合,主板,19990115
600202.SH,600202.0,哈空调,黑龙江,专用机械,主板,19990603
600203.SH,600203.0,福日电子,福建,元器件,主板,19990514
600206.SH,600206.0,有研新材,北京,半导体,主板,19990319
600207.SH,600207.0,安彩高科,河南,电气设备,主板,19990714
600208.SH,600208.0,衢州发展,浙江,全国地产,主板,19990623
600210.SH,600210.0,紫江企业,上海,广告包装,主板,19990824
600211.SH,600211.0,西藏药业,西藏,生物制药,主板,19990721
600212.SH,600212.0,绿能慧充,山东,电气设备,主板,19990817
600215.SH,600215.0,派斯林,吉林,专用机械,主板,19990909
600216.SH,600216.0,浙江医药,浙江,化学制药,主板,19991021
600217.SH,600217.0,中再资环,陕西,环境保护,主板,19991216
600218.SH,600218.0,全柴动力,安徽,汽车配件,主板,19981203
600219.SH,600219.0,南山铝业,山东,铝,主板,19991223
600221.SH,600221.0,海航控股,海南,空运,主板,19991125
600222.SH,600222.0,太龙药业,河南,中成药,主板,19991105
600223.SH,600223.0,福瑞达,山东,日用化工,主板,20000113
600226.SH,600226.0,亨通股份,浙江,供气供热,主板,19991116
600227.SH,600227.0,赤天化,贵州,农药化肥,主板,20000221
600228.SH,600228.0,返利科技,江西,互联网,主板,19990119
600229.SH,600229.0,城市传媒,山东,出版业,主板,20000309
600230.SH,600230.0,沧州大化,河北,化工原料,主板,20000406
600231.SH,600231.0,凌钢股份,辽宁,普钢,主板,20000511
600232.SH,600232.0,金鹰股份,浙江,纺织机械,主板,20000602
600233.SH,600233.0,圆通速递,辽宁,仓储物流,主板,20000608
600234.SH,600234.0,科新发展,山西,装修装饰,主板,20000615
600235.SH,600235.0,民丰特纸,浙江,造纸,主板,20000615
600236.SH,600236.0,桂冠电力,广西,水力发电,主板,20000323
600237.SH,600237.0,铜峰电子,安徽,元器件,主板,20000609
600238.SH,600238.0,*ST椰岛,海南,红黄酒,主板,20000120
600239.SH,600239.0,ST云城,云南,区域地产,主板,19991202
600241.SH,600241.0,时代万恒,辽宁,电气设备,主板,20001128
600243.SH,600243.0,*ST海华,青海,运输设备,主板,20001120
600246.SH,600246.0,万通发展,北京,区域地产,主板,20000922
600248.SH,600248.0,陕建股份,陕西,建筑工程,主板,20000622
600249.SH,600249.0,两面针,广西,日用化工,主板,20040130
600250.SH,600250.0,南京商旅,江苏,商贸代理,主板,20010306
600251.SH,600251.0,冠农股份,新疆,农业综合,主板,20030609
600252.SH,600252.0,中恒集团,广西,中成药,主板,20001130
600255.SH,600255.0,鑫科材料,安徽,小金属,主板,20001122
600256.SH,600256.0,广汇能源,新疆,石油开采,主板,20000526
600257.SH,600257.0,大湖股份,湖南,渔业,主板,20000612
600258.SH,600258.0,首旅酒店,北京,酒店餐饮,主板,20000601
600259.SH,600259.0,中稀有色,海南,小金属,主板,20000525
600261.SH,600261.0,阳光照明,浙江,家用电器,主板,20000720
600262.SH,600262.0,北方股份,内蒙,专用机械,主板,20000630
600265.SH,600265.0,*ST景谷,云南,林业,主板,20000825
600266.SH,600266.0,城建发展,北京,区域地产,主板,19990203
600267.SH,600267.0,海正药业,浙江,化学制药,主板,20000725
600268.SH,600268.0,国电南自,江苏,电气设备,主板,19991118
600269.SH,600269.0,赣粤高速,江西,路桥,主板,20000518
600271.SH,600271.0,航天信息,北京,软件服务,主板,20030711
600272.SH,600272.0,开开实业,上海,医药商业,主板,20010228
600273.SH,600273.0,嘉化能源,浙江,化工原料,主板,20030627
600276.SH,600276.0,恒瑞医药,江苏,化学制药,主板,20001018
600278.SH,600278.0,东方创业,上海,商贸代理,主板,20000712
600279.SH,600279.0,重庆港,重庆,港口,主板,20000731
600280.SH,600280.0,中央商场,江苏,百货,主板,20000926
600281.SH,600281.0,华阳新材,山西,小金属,主板,20001109
600282.SH,600282.0,南钢股份,江苏,普钢,主板,20000919
600283.SH,600283.0,钱江水利,浙江,水务,主板,20001018
600284.SH,600284.0,浦东建设,上海,建筑工程,主板,20040316
600285.SH,600285.0,羚锐制药,河南,中成药,主板,20001018
600287.SH,600287.0,苏豪时尚,江苏,商贸代理,主板,20000901
600288.SH,600288.0,大恒科技,北京,元器件,主板,20001129
600289.SH,600289.0,ST信通,黑龙江,软件服务,主板,20000720
600292.SH,600292.0,电投水电,重庆,水力发电,主板,20001101
600293.SH,600293.0,三峡新材,湖北,玻璃,主板,20000919
600295.SH,600295.0,鄂尔多斯,内蒙,特种钢,主板,20010426
600298.SH,600298.0,安琪酵母,湖北,食品,主板,20000818
600299.SH,600299.0,安迪苏,北京,饲料,主板,20000420
600300.SH,600300.0,维维股份,江苏,软饮料,主板,20000630
600301.SH,600301.0,华锡有色,广西,小金属,主板,20000712
600302.SH,600302.0,ST标准,陕西,纺织机械,主板,20001213
600303.SH,600303.0,曙光股份,辽宁,汽车整车,主板,20001226
600305.SH,600305.0,恒顺醋业,江苏,食品,主板,20010206
600307.SH,600307.0,酒钢宏兴,甘肃,普钢,主板,20001220
600308.SH,600308.0,华泰股份,山东,造纸,主板,20000928
600309.SH,600309.0,万华化学,山东,化工原料,主板,20010105
600310.SH,600310.0,广西能源,广西,水力发电,主板,20010228
600312.SH,600312.0,平高电气,河南,电气设备,主板,20010221
600313.SH,600313.0,农发种业,北京,种植业,主板,20010119
600315.SH,600315.0,上海家化,上海,日用化工,主板,20010315
600316.SH,600316.0,洪都航空,江西,航空,主板,20001215
600318.SH,600318.0,新力金融,安徽,多元金融,主板,20001208
600319.SH,600319.0,亚星化学,山东,化工原料,主板,20010326
600320.SH,600320.0,振华重工,上海,专用机械,主板,20001221
600322.SH,600322.0,津投城开,天津,区域地产,主板,20010910
600323.SH,600323.0,瀚蓝环境,广东,环境保护,主板,20001225
600325.SH,600325.0,华发股份,广东,区域地产,主板,20040225
600326.SH,600326.0,西藏天路,西藏,水泥,主板,20010116
600327.SH,600327.0,大东方,江苏,医疗保健,主板,20020625
600328.SH,600328.0,中盐化工,内蒙,化工原料,主板,20001222
600329.SH,600329.0,达仁堂,天津,中成药,主板,20010606
600330.SH,600330.0,天通股份,浙江,专用机械,主板,20010118
600331.SH,600331.0,宏达股份,四川,农药化肥,主板,20011220
600332.SH,600332.0,白云山,广东,中成药,主板,20010206
600333.SH,600333.0,长春燃气,吉林,供气供热,主板,20001211
600335.SH,600335.0,国机汽车,天津,汽车服务,主板,20010305
600336.SH,600336.0,澳柯玛,山东,家用电器,主板,20001229
600337.SH,600337.0,ST美克,江西,家居用品,主板,20001127
600338.SH,600338.0,西藏珠峰,西藏,铅锌,主板,20001227
600339.SH,600339.0,中油工程,新疆,石油开采,主板,20001225
600340.SH,600340.0,*ST华幸,河北,园区开发,主板,20031230
600343.SH,600343.0,航天动力,陕西,机械基件,主板,20030408
600345.SH,600345.0,长江通信,湖北,通信设备,主板,20001222
600346.SH,600346.0,恒力石化,辽宁,石油加工,主板,20010820
600348.SH,600348.0,华阳股份,山西,煤炭开采,主板,20030821
600350.SH,600350.0,山东高速,山东,路桥,主板,20020318
600351.SH,600351.0,亚宝药业,山西,中成药,主板,20020926
600352.SH,600352.0,浙江龙盛,浙江,染料涂料,主板,20030801
600353.SH,600353.0,旭光电子,四川,元器件,主板,20021120
600354.SH,600354.0,敦煌种业,甘肃,种植业,主板,20040115
600356.SH,600356.0,恒丰纸业,黑龙江,造纸,主板,20010419
600358.SH,600358.0,国旅联合,江西,广告包装,主板,20000922
600359.SH,600359.0,新农开发,新疆,种植业,主板,19990429
600360.SH,600360.0,华微电子,吉林,半导体,主板,20010316
600361.SH,600361.0,创新新材,北京,铝,主板,20011129
600362.SH,600362.0,江西铜业,江西,铜,主板,20020111
